script_no,script_name,case_name,mesh_tag,plate_nx,plate_ny,plate_nz,punch_ntheta,punch_ny,die_ntheta,die_ny,die_gap,punch_disp_down,punch_speed
001,meshconv_case_001.jl,meshconv_001,m01,10,10,1,16,16,16,16,0.2,-12.0,2.0
002,meshconv_case_002.jl,meshconv_002,m02,14,14,1,20,20,20,20,0.2,-12.0,2.0
003,meshconv_case_003.jl,meshconv_003,m03,18,18,2,24,24,24,24,0.2,-12.0,2.0
004,meshconv_case_004.jl,meshconv_004,m04,24,24,2,28,28,28,28,0.2,-12.0,2.0
005,meshconv_case_005.jl,meshconv_005,m05,30,30,3,32,30,32,30,0.2,-12.0,2.0
006,meshconv_case_006.jl,meshconv_006,m06,36,36,4,36,36,36,36,0.2,-12.0,2.0
007,meshconv_case_007.jl,meshconv_007,m07,20,20,2,24,24,24,24,0.2,-12.0,2.0
008,meshconv_case_008.jl,meshconv_008,m08,20,20,3,24,24,24,24,0.2,-12.0,2.0
009,meshconv_case_009.jl,meshconv_009,m09,30,30,3,32,32,32,32,0.2,-12.0,2.0
010,meshconv_case_010.jl,meshconv_010,m10,20,20,4,24,24,24,24,0.2,-12.0,2.0
011,meshconv_case_011.jl,meshconv_011,m11,30,30,4,32,32,32,32,0.2,-12.0,2.0
