case_no,case_name,mesh_tag,plate_nx,plate_ny,plate_nz,punch_ntheta,punch_ny,die_ntheta,die_ny,status,final_time,final_master1_z,max_abs_master1_z
001,meshconv_001,m01,10,10,1,16,16,16,16,finished,6.2,65581.6,139254
002,meshconv_002,m02,14,14,1,20,20,20,20,finished,6.2,48503.8,113667
003,meshconv_003,m03,18,18,2,24,24,24,24,finished,6.2,89094.7,104931
004,meshconv_004,m04,24,24,2,28,28,28,28,finished,6.2,80887.2,100746
005,meshconv_005,m05,30,30,3,32,30,32,30,finished,6.2,91307.8,111902
006,meshconv_006,m06,36,36,4,36,36,36,36,finished,6.2,84272.9,100248
007,meshconv_007,m07,20,20,2,24,24,24,24,interrupted,,,
008,meshconv_008,m08,20,20,3,24,24,24,24,interrupted,,,
009,meshconv_009,m09,30,30,3,32,32,32,32,interrupted,,,
010,meshconv_010,m10,20,20,4,24,24,24,24,interrupted,,,
011,meshconv_011,m11,30,30,4,32,32,32,32,interrupted,,,
