script_no,script_name,case_name,selected_mesh_tag,plate_nx,plate_ny,plate_nz,punch_ntheta,punch_ny,die_ntheta,die_ny,die_gap,punch_disp_down,punch_speed
001,study_case_001.jl,study_001,m04,24,24,2,28,28,28,28,0.2,-8,1
002,study_case_002.jl,study_002,m04,24,24,2,28,28,28,28,0.2,-8,2
003,study_case_003.jl,study_003,m04,24,24,2,28,28,28,28,0.2,-8,4
004,study_case_004.jl,study_004,m04,24,24,2,28,28,28,28,0.2,-8,8
005,study_case_005.jl,study_005,m04,24,24,2,28,28,28,28,0.2,-12,1
006,study_case_006.jl,study_006,m04,24,24,2,28,28,28,28,0.2,-12,2
007,study_case_007.jl,study_007,m04,24,24,2,28,28,28,28,0.2,-12,4
008,study_case_008.jl,study_008,m04,24,24,2,28,28,28,28,0.2,-12,8
009,study_case_009.jl,study_009,m04,24,24,2,28,28,28,28,0.2,-16,1
010,study_case_010.jl,study_010,m04,24,24,2,28,28,28,28,0.2,-16,2
011,study_case_011.jl,study_011,m04,24,24,2,28,28,28,28,0.2,-16,4
012,study_case_012.jl,study_012,m04,24,24,2,28,28,28,28,0.2,-16,8
013,study_case_013.jl,study_013,m04,24,24,2,28,28,28,28,0.2,-20,1
014,study_case_014.jl,study_014,m04,24,24,2,28,28,28,28,0.2,-20,2
015,study_case_015.jl,study_015,m04,24,24,2,28,28,28,28,0.2,-20,4
016,study_case_016.jl,study_016,m04,24,24,2,28,28,28,28,0.2,-20,8
017,study_case_017.jl,study_017,m04,24,24,2,28,28,28,28,0.2,-24,1
018,study_case_018.jl,study_018,m04,24,24,2,28,28,28,28,0.2,-24,2
019,study_case_019.jl,study_019,m04,24,24,2,28,28,28,28,0.2,-24,4
020,study_case_020.jl,study_020,m04,24,24,2,28,28,28,28,0.2,-24,8
021,study_case_021.jl,study_021,m04,24,24,2,28,28,28,28,1,-8,1
022,study_case_022.jl,study_022,m04,24,24,2,28,28,28,28,1,-8,2
023,study_case_023.jl,study_023,m04,24,24,2,28,28,28,28,1,-8,4
024,study_case_024.jl,study_024,m04,24,24,2,28,28,28,28,1,-8,8
025,study_case_025.jl,study_025,m04,24,24,2,28,28,28,28,1,-12,1
026,study_case_026.jl,study_026,m04,24,24,2,28,28,28,28,1,-12,2
027,study_case_027.jl,study_027,m04,24,24,2,28,28,28,28,1,-12,4
028,study_case_028.jl,study_028,m04,24,24,2,28,28,28,28,1,-12,8
